Nomor Klasifikasi,Tanggal,Judul Buku,Kode Judul Buku,Kategori,Asal/Sumber,Kode Pengarang,Pengarang,Penerbit,Tahun Terbit,Jumlah Buku,Harga,Keterangan
500,2022-10-14,Muatan Lokal Ensiklopedia IPTEK 7,M,Ensiklopedia Umum, - ,DOD,Dody Hidayat dan Imam Firdaus,Penerbit Lentera Abadi,2017,2,0,Baik
500,2022-10-04,Cakrawala Sains Serba Serbi Energi,C,Fisika, - ,OKT,Dian Malini Oktovina,Nobel Edumedia,2008,6,0,Baik
500,2022-10-04,Mengenal Energi,M,Fisika, - ,SAF,Desi Safitri,PT Graha Bandung Kencana,2017,3,0,Baik
500,2022-10-04,Panas dan Energi,P,Fisika, - ,SEA,Bobbi Searle,PT Gading Inti Prima,2017,6,0,Baik
500,2022-10-04,Mari Bereksperimen dengan Sains,M,Fisika, - ,NUR,R Nurfadilah,PT Musi Perkasa Utama,2017,6,0,Baik
500,2022-10-04,"Memahami Gelombang, Bunyi, dan Cahaya",M,Fisika, - ,WIJ,Tedy Wijaya,PT Graha Bandung Kencana,2017,3,0,Baik
500,2022-10-04,Menyelidiki Matahari,M,Astronomi, - ,MAR,Hs Mardiyah,PT Musi Perkasa Utama,2017,5,0,Baik
500,2022-10-04,Pengetahuan Tentang Udara,P,Ilmu-Ilmu tentang Kehidupan, - ,YUL,Dewi Yuliana Astuti,PT Sarana Panca Karya Nusa,2017,6,0,Baik
500,2022-10-04,Persahabatan dengan Listrik,P,Fisika, - ,WIY,Setyo Budi Wiyono,Intan Pariwara,2008,3,0,Baik
500,2022-10-05,Mengenal Zat,M,Kimia, - ,AJI,Setia Aji,PT Graha Bandung Kencana,2017,3,0,Baik
500,2022-10-05,"Seri Sains Dasar , Mengenal Magnet",S,Fisika, - ,SUA,Dewi Suartini,PT Albama,2017,3,0,Baik
500,2022-10-05,Mengenal Listrik,M,Fisika, - ,NUR,P Tri Nurcahyo,Insan Madani,2011,3,0,Baik
600,2022-10-05,Mengenal Teknologi Sederhana,M,Ilmu Teknik, - ,PUR,"Eka Purjianta, S.Pd",Azkapress,2006,6,0,Baik
900,2022-10-05,Wawasan Nusantara,W,Ilmu-Ilmu Sosial, - ,SUD,Yudi Suparyanto,Cempaka Putih,2008,3,0,Baik
800,2022-10-05,Kisah Pejabat Yang Amanah,K,Fiksi, - ,SAK,Tri Sakhamto,Inti Medina,2011,3,0,Baik
000,2022-10-05,Aneka Kreasi Grafis Pemula dengan Corel Draw,A,Karya Umum, - ,RAC,DIky Rachmat dan Yusuf Sobari,Tiga Serangkai,2009,3,0,Baik
700,2022-10-05,Pemain Basket Berprestasi,P,Atletik dan Olahraga, - ,SUT,"Sutrisno, S.Pd dan Yuni Marlani",PT Musi Perkasa Utama,2017,3,0,Baik
700,2022-10-05,Teknik Permainan Futsal,T,Seni Rekreasi dan Pertunjukan, - ,SUT,Andri Setyawan,Sunda Kelapa Pustaka,2010,3,0,Baik
500,2022-10-05,Aku Ingin Menjadi Astronom,A,Astronomi, - ,CBM,Tim CBM,CV Globalindo,2006,6,0,Baik
600,2022-10-05,"Ayo, Membuat Deterjen",A,Teknologi Kimia, - ,KUR,Kurniasih,PT Karya Kita,2006,6,0,Baik
300,2022-10-05,Pewaris Sifat dan Pemanfaatannya,P,Pendidikan, - ,MUL,Reni Mulyati,Intan Pariwara,2008,3,0,Baik
700,2022-10-05,Tina dan Sulamannya,T,Menggambar dan Seni Dekorasi, - ,PUT,Wahyu Putranto,Nuansa Citra Grafika CV,2002,5,0,Baik
500,2022-10-05,Pesona Daun Anthurium Jenmanii,P,Pertanian, - ,SER,Eddy Triharyanto dan Joko Sutrisno,Tiga Serangkai,2007,3,0,Baik
000,2022-10-05,Mengenal Perangkat Komputer,M,Karya Umum, - ,SHI,Bagas Shinugi,Mediantara,2012,3,0,Baik
